bbrp	beberapa
gaknya	seperti
gakpapa	tidak apa apa
gakpapo	tidak apa apa
gaksi	tidak
gaksih	tidak
gakuat	tidak kuat
galack	galak
galagi	tidak
gamake	tidak memakai
gamasalah	tidak masalah
gamasuk	tidak masuk
gaminta	tidak meminta
gamood	tidak mood
gamuat	tidak muat
gamungkin	tidak mungkin
gaoaoa	tidak apa apa
gaono	tidak
gapaham	tidak paham
gapake	tidak memakai
gapakek	tidak memakai
gapapaa	tidak apa apa
gapapalah	tidak apa apa
gapape	tidak apa apa
gapedes	tidak pedas
gapeduli	tidak peduli
gapengen	tidak ingin
gapenting	tidak penting
gapercaya	tidak percaya
gaperlu	tidak perlu
gaperna	tidak pernah
gapernah	tidak pernah
gapunya	tidak punya
gara	karena
garagara	karena
gasabar	tidak sabar
gasanggup	tidak kuat
gasehat	tidak sehat
gasesuai	tidak sesuai
gasih	tidak
gasihh	tidak
gasii	tidak
gasin	ayo
gaskeun	ayo
gasopan	tidak sopan
gass	ayo
gassin	ayo
gasskeun	ayo
gasuka	tidak suka
gataudah	tidak tahu
gataukah	tidak tahu
gataunya	tidak tahu
gatautp	tidak tahu
gatega	tidak tega
gausa	tidak perlu
gausah	tidak perlu
gaw	tidak
gawaat	gawat
gawajib	tidak wajib
gawean	pekerjaan
gawene	pekerjaan
gbaik	tidak baik
gbk	gelanggang olahraga bung karno
gblh	tidak boleh
gblk	goblok
gblknya	goblok
peace	damai
nyinggung	singgung
sedap	enak
pikiranmu	pikiran
ga	tidak
ngak	tidak
cosplayer	main kostum
scammer	penipu
tt	tiktok
ig	instagram
dm	pesan langsung
rp	rupiah
bh	buah
smga	semoga
next	selanjutnya
tangsel	tangerang selatan
dpc	dewan pimpinan cabang
interest	minat
scroll	jelajah
supplier	pemasok
fomo	takut ketinggalan
fomism	takut ketinggalan
garlaxy	galaxy
vibes	suasana
staycation	menginap
arii	ari
sayangg	sayang
yb	yang berhormat
yaa	ya
mbg	makan bergizi gratis
kpk	komisi pemberantasan korupsi
milk	susu
sdt	sendok teh
dst	dan seterusnya
siih	sih
food	makanan
chocolate	cokelat
to	kepada
this	ini
why	mengapa
not	tidak
takde	tidak ada
banget	sangat
emang	memang
aja	saja
udah	sudah
yg	yang
dgn	dengan
tuh	itu
kok	mengapa
kalo	jika
bgt	sangat
kyk	seperti
sampe	sampai
ntar	nanti
nyari	mencari
nunggu	menunggu
nyoba	mencoba
nyokap	ibu
bokap	ayah
emak	ibu
abis	habis
bener	benar
bikin	membuat
cuma	hanya
doang	saja
kali	mungkin
dll	dan lain lain
dpt	dapat
kaga	tidak
kapan2	kapan-kapan
ngerjain	mengerjai
ngeh	mengerti
ngejar	mengejar
ngekos	tinggal di kos
ngebahas	membahas
ngebuat	membuat
ngedukung	mendukung
ngefans	menjadi penggemar
ngeganti	mengganti
ngehabisin	menghabiskan
ngehargain	menghargai
ngelakuin	melakukan
ngeliat	melihat
ngelindungin	melindungi
ngeluh	mengeluh
ngemeng	berbicara
ngerasa	merasa
ngerusak	merusak
ngeshare	membagikan
ngetawain	menertawakan
ngetik	mengetik
nge-tag	menandai
nge-trend	menjadi tren
ngeupload	mengunggah
ngevlog	membuat vlog
nyampe	sampai
nyiapin	menyiapkan
nongkrong	berkumpul
ngebangun	membangun
ngebedain	membedakan
ngebeli	membeli
ngebandingin	membandingkan
ngecengin	menggoda
ngedapetin	mendapatkan
ngegambar	menggambar
ngejaga	menjaga
ngejelasin	menjelaskan
ngejual	menjual
ngelamar	melamar
ngelanggar	melanggar
nyalain	menyalakan
level	tingkat
simak	perhatikan
tips	petunjuk singkat
comeback	Kembali
pak	bapak
buk	ibu
bpk	bapak
kea	seperti
ongkir	ongkos kirim
via	melalui
teen	remaja
tmi	taman mini Indonesia
telponan	menelepon
movie	film
check	periksa
adopt	mengambil
mas	bapak
angzay	anjay
bang	bapak
in	masuk
update	memperbarui
volunteering	relawan
mbg	makan bergizi gratis
streetwear	pakaian
kawaii	lucu
replacement	pengganti
overnight	semalaman
meal	makanan
love	cinta
plot	merencanakan
twist	berputar
cek	periksa
list	daftar
ia	dia
layak	pantas
day	hari
spesialmu	special
waste	sampah
dress	pakaian
cardigan	pakaian
per	setiap
bu	ibu
urgent	genting
free	gratis
roam	pergi
cm	sentimeter
bukber	buka Bersama
mama	ibu
angzay	anjing
and	dan
you	anda
for	untuk
with	Bersama
that	itu
your	milikmu
from	dari
are	adalah
like	seperti
que	siapa
con	dengan
lost	tersesat
una	seseorang
him	dia
his	punya dia
has	punya
have	punya
will	akan
emot	simbol
